iter	MultiClass
0	2.072384517
1	1.91038141
2	1.785178958
3	1.688501546
4	1.610619223
5	1.538341649
6	1.488450986
7	1.441305286
8	1.393990037
9	1.350664818
10	1.313519784
11	1.278354759
12	1.24332251
13	1.218265811
14	1.197420599
15	1.172381944
16	1.150489872
17	1.131174534
18	1.111399058
19	1.094572082
20	1.082138022
21	1.068896958
22	1.056409921
23	1.041566216
24	1.028983434
25	1.015629506
26	1.005021844
27	0.9948770137
28	0.9833552635
29	0.9730837044
30	0.9637684542
31	0.953360331
32	0.9451142908
33	0.9392334393
34	0.9337199925
35	0.9252774156
36	0.9166995544
37	0.9091769557
38	0.9020181748
39	0.8955537339
40	0.8883765119
41	0.8830270038
42	0.8775654665
43	0.8717198364
44	0.864612436
45	0.8591306946
46	0.8518132842
47	0.8467723638
48	0.8429729065
49	0.838894338
50	0.833842208
51	0.8302590143
52	0.8252911254
53	0.8194273206
54	0.8147888822
55	0.8117272919
56	0.8077284474
57	0.8006423483
58	0.7974255483
59	0.7938411857
60	0.7890285479
61	0.7845263123
62	0.7793642053
63	0.7754711485
64	0.772222161
65	0.767782661
66	0.7636113059
67	0.7597382388
68	0.7571644369
69	0.7536431604
70	0.7489481343
71	0.745619469
72	0.7421097427
73	0.7386365058
74	0.7353062121
75	0.7327267386
76	0.7306264718
77	0.7271882644
78	0.7224149804
79	0.7203709693
80	0.7163404761
81	0.7138938969
82	0.7112088552
83	0.7089493474
84	0.7063712305
85	0.7037719594
86	0.7014803765
87	0.6985551603
88	0.6955225405
89	0.6915421065
90	0.688617709
91	0.6863422801
92	0.6839047642
93	0.6821042222
94	0.679884447
95	0.6756577366
96	0.6741829937
97	0.6721310669
98	0.6690591585
99	0.6667022936
100	0.664018445
101	0.6613501247
102	0.659537518
103	0.6581265563
104	0.6562297
105	0.6540364059
106	0.6525669798
107	0.6510888733
108	0.648361311
109	0.6459601206
110	0.6437745196
111	0.6417475474
112	0.6396756084
113	0.6364370424
114	0.6343417285
115	0.6321766101
116	0.6296915784
117	0.6284082595
118	0.6264061014
119	0.6239790671
120	0.622681048
121	0.6207788542
122	0.6192432333
123	0.6179663543
124	0.6157913112
125	0.6143354095
126	0.6122088839
127	0.6106890814
128	0.608456049
129	0.6061113243
130	0.6040995233
131	0.6023306687
132	0.6002009697
133	0.5988019532
134	0.5963844017
135	0.5946640627
136	0.5925307792
137	0.5909497038
138	0.5896410085
139	0.588436448
140	0.5864381999
