iter	Passed	Remaining
0	65	32547
1	70	17464
2	75	12504
3	80	9954
4	85	8452
5	90	7423
6	95	6727
7	100	6175
8	105	5738
9	110	5393
10	114	5098
11	119	4847
12	123	4638
13	128	4460
14	133	4312
15	138	4174
16	143	4071
17	148	3967
18	152	3864
19	158	3792
20	162	3717
21	167	3644
22	172	3576
23	177	3514
24	181	3454
25	186	3399
26	191	3353
27	196	3314
28	201	3276
29	206	3242
30	211	3207
31	217	3174
32	222	3147
33	227	3116
34	232	3087
35	237	3060
36	243	3042
37	248	3021
38	253	3000
39	259	2981
40	264	2959
41	269	2938
42	274	2917
43	279	2896
44	284	2879
45	289	2858
46	294	2841
47	300	2827
48	305	2809
49	310	2793
50	315	2775
51	319	2756
52	324	2740
53	329	2723
54	334	2709
55	339	2695
56	345	2682
57	349	2666
58	354	2652
59	360	2640
60	364	2626
61	369	2611
62	374	2601
63	380	2590
64	385	2578
65	390	2567
66	395	2554
67	400	2543
68	405	2532
69	410	2520
70	415	2509
71	420	2496
72	424	2485
73	429	2474
74	435	2465
75	440	2456
76	445	2446
77	450	2436
78	455	2427
79	460	2418
80	465	2408
81	470	2399
82	476	2394
83	482	2387
84	488	2383
85	494	2378
86	500	2377
87	507	2376
88	513	2373
89	519	2365
90	524	2355
91	529	2348
92	534	2340
93	540	2332
94	545	2324
95	550	2314
96	555	2307
97	560	2298
98	565	2289
99	569	2279
100	575	2272
101	580	2263
102	585	2255
103	590	2247
104	595	2240
105	600	2232
106	605	2224
107	610	2215
108	615	2207
109	620	2199
110	625	2191
111	630	2183
112	635	2176
113	640	2167
114	645	2159
115	650	2153
116	655	2145
117	660	2138
118	665	2129
119	670	2121
120	675	2115
121	680	2107
122	685	2100
123	690	2093
124	695	2085
125	700	2079
126	705	2072
127	710	2064
128	715	2057
129	720	2051
130	725	2043
131	730	2036
132	735	2030
133	791	2162
134	805	2179
135	811	2171
136	816	2163
137	821	2154
138	826	2146
139	831	2138
140	836	2129
141	841	2121
142	846	2112
143	851	2105
144	856	2096
145	861	2089
146	867	2082
147	871	2073
148	877	2066
149	882	2058
150	887	2050
151	891	2042
152	896	2033
153	901	2026
154	906	2018
155	911	2010
156	916	2002
157	921	1994
158	926	1986
159	931	1978
160	936	1971
161	941	1964
162	946	1957
163	952	1950
164	957	1943
165	962	1935
166	967	1928
167	972	1921
168	977	1913
169	982	1907
170	987	1899
171	992	1892
172	997	1885
173	1002	1877
174	1006	1870
175	1011	1862
176	1016	1855
177	1021	1848
178	1026	1840
179	1031	1833
180	1036	1826
181	1041	1819
182	1046	1813
183	1051	1806
184	1056	1799
185	1062	1792
186	1067	1786
187	1072	1780
188	1077	1772
189	1082	1766
190	1087	1759
191	1092	1752
192	1097	1745
193	1102	1738
194	1107	1732
195	1112	1725
196	1117	1718
197	1122	1712
198	1127	1704
199	1133	1699
200	1138	1693
201	1143	1686
202	1148	1679
203	1154	1675
204	1159	1668
205	1164	1662
206	1169	1655
207	1174	1649
208	1180	1643
209	1185	1637
210	1190	1630
211	1195	1623
212	1200	1617
213	1205	1611
214	1210	1604
215	1215	1598
216	1220	1591
217	1224	1584
218	1230	1578
219	1235	1572
220	1239	1565
221	1244	1558
222	1249	1552
223	1254	1546
224	1259	1539
225	1264	1533
226	1269	1527
227	1275	1521
228	1280	1515
229	1285	1509
230	1290	1503
231	1296	1497
232	1301	1491
233	1307	1486
234	1312	1480
235	1318	1474
236	1324	1469
237	1329	1463
238	1334	1457
239	1339	1451
240	1344	1445
241	1349	1438
242	1355	1433
243	1362	1429
244	1369	1425
245	1374	1419
246	1381	1415
247	1388	1410
248	1396	1407
249	1404	1404
250	1410	1399
251	1415	1393
252	1421	1387
253	1427	1382
254	1432	1376
255	1437	1369
256	1443	1364
257	1448	1358
258	1453	1352
259	1458	1345
260	1463	1340
261	1468	1333
262	1473	1327
263	1478	1321
264	1482	1314
265	1487	1308
266	1492	1302
267	1497	1296
268	1502	1290
269	1506	1283
270	1511	1277
271	1516	1271
272	1521	1264
273	1525	1258
274	1531	1252
275	1537	1247
276	1542	1241
277	1547	1235
278	1552	1229
279	1556	1223
280	1561	1217
281	1566	1211
282	1571	1204
283	1575	1198
284	1580	1192
285	1585	1186
286	1590	1180
287	1595	1174
288	1599	1167
289	1604	1161
290	1609	1155
291	1613	1149
292	1618	1143
293	1623	1137
294	1628	1131
295	1633	1125
296	1638	1119
297	1643	1113
298	1647	1107
299	1653	1102
300	1658	1096
301	1663	1090
302	1667	1084
303	1672	1078
304	1677	1072
305	1682	1066
306	1687	1060
307	1691	1054
308	1699	1050
309	1704	1044
310	1709	1038
311	1714	1032
312	1719	1027
313	1723	1021
314	1728	1015
315	1734	1009
316	1740	1004
317	1745	999
318	1751	993
319	1756	988
